client_id,age,job,marital,education,credit_default,mortgage
0,0,56,housemaid,married,basic_4y,True,True
1,1,57,services,married,high_school,False,True
2,2,37,services,married,high_school,True,True
3,3,40,admin_,married,basic_6y,True,True
4,4,56,services,married,high_school,True,True
5,5,45,services,married,basic_9y,False,True
6,6,59,admin_,married,professional_course,True,True
8,8,24,technician,single,professional_course,True,True
9,9,25,services,single,high_school,True,True
11,11,25,services,single,high_school,True,True
12,12,29,blue-collar,single,high_school,True,True
13,13,57,housemaid,divorced,basic_4y,True,True
14,14,35,blue-collar,married,basic_6y,True,True
15,15,54,retired,married,basic_9y,False,True
16,16,35,blue-collar,married,basic_6y,True,True
17,17,46,blue-collar,married,basic_6y,False,True
18,18,50,blue-collar,married,basic_9y,True,True
19,19,39,management,single,basic_9y,False,True
20,20,30,unemployed,married,high_school,True,True
21,21,55,blue-collar,married,basic_4y,False,True
22,22,55,retired,single,high_school,True,True
23,23,41,technician,single,high_school,True,True
24,24,37,admin_,married,high_school,True,True
25,25,35,technician,married,university_degree,True,True
27,27,39,self-employed,married,basic_9y,False,True
28,28,54,technician,single,university_degree,False,True
29,29,55,unknown,married,university_degree,False,False
33,33,54,management,married,basic_4y,False,True
34,34,54,blue-collar,divorced,basic_4y,True,True
35,35,55,unknown,married,basic_4y,False,True
36,36,34,services,married,high_school,True,True
37,37,52,technician,married,basic_9y,True,True
38,38,41,admin_,married,university_degree,True,True
39,39,56,technician,married,basic_4y,True,True
40,40,58,management,unknown,university_degree,True,True
41,41,32,entrepreneur,married,high_school,True,True
42,42,38,admin_,single,professional_course,True,True
43,43,57,admin_,married,university_degree,True,True
44,44,44,admin_,married,university_degree,False,True
45,45,42,technician,single,professional_course,False,True
46,46,57,admin_,married,university_degree,True,True
47,47,40,blue-collar,married,basic_9y,True,True
48,48,35,admin_,married,university_degree,True,True
49,49,45,blue-collar,married,basic_9y,True,True
50,50,54,admin_,married,high_school,True,True
51,51,39,housemaid,married,basic_4y,True,True
52,52,60,admin_,married,high_school,True,True
53,53,53,admin_,single,professional_course,True,True
54,54,55,blue-collar,married,basic_4y,False,True
55,55,55,technician,married,professional_course,False,True
56,56,50,management,married,university_degree,False,True
57,57,45,services,married,high_school,False,True
58,58,55,unemployed,married,professional_course,False,True
59,59,25,technician,single,university_degree,True,True
60,60,47,entrepreneur,married,university_degree,False,True
61,61,51,blue-collar,married,basic_9y,True,True
62,62,42,blue-collar,married,basic_6y,False,True
63,63,42,blue-collar,married,basic_6y,False,True
64,64,48,admin_,married,high_school,True,True
65,65,37,admin_,married,university_degree,True,True
66,66,44,blue-collar,single,basic_9y,True,True
68,68,56,admin_,married,basic_9y,True,True
69,69,44,blue-collar,single,basic_4y,False,True
70,70,41,management,married,basic_6y,True,True
71,71,44,management,divorced,university_degree,True,True
72,72,47,admin_,married,university_degree,False,True
74,74,37,admin_,married,university_degree,False,True
75,75,41,blue-collar,divorced,basic_4y,False,True
76,76,55,technician,married,university_degree,True,True
77,77,33,services,married,high_school,False,True
79,79,42,blue-collar,married,basic_9y,False,True
80,80,50,blue-collar,married,basic_4y,False,True
81,81,51,blue-collar,married,basic_4y,False,False
82,82,38,admin_,married,high_school,False,True
83,83,49,entrepreneur,married,university_degree,False,True
84,84,38,technician,single,university_degree,True,True
85,85,31,admin_,divorced,high_school,True,True
86,86,41,management,married,basic_6y,True,True
87,87,39,admin_,married,university_degree,True,True
88,88,49,technician,married,basic_9y,True,True
89,89,34,admin_,married,high_school,True,True
90,90,35,admin_,married,university_degree,True,True
93,93,33,unemployed,married,basic_9y,True,True
94,94,42,blue-collar,married,basic_6y,True,True
95,95,45,services,married,professional_course,True,True
96,96,42,management,married,university_degree,True,True
97,97,53,admin_,divorced,university_degree,False,True
98,98,37,technician,single,professional_course,True,True
99,99,44,blue-collar,married,basic_6y,True,True
101,101,49,blue-collar,married,basic_4y,True,True
103,103,52,admin_,divorced,university_degree,True,True
104,104,52,admin_,divorced,university_degree,True,True
105,105,43,services,single,high_school,False,True
106,106,34,housemaid,married,basic_6y,True,True
107,107,35,admin_,married,high_school,True,True
110,110,60,retired,divorced,university_degree,False,True
111,111,58,unemployed,married,basic_4y,False,True
112,112,35,services,divorced,high_school,True,True
113,113,55,blue-collar,married,basic_9y,False,True
114,114,37,management,married,university_degree,True,True
115,115,36,blue-collar,married,high_school,True,True
116,116,52,admin_,divorced,university_degree,True,True
119,119,48,blue-collar,divorced,basic_4y,False,True
120,120,40,blue-collar,married,high_school,False,True
121,121,49,blue-collar,divorced,high_school,True,True
122,122,41,services,married,high_school,True,True
123,123,45,technician,married,high_school,True,True
124,124,32,admin_,married,university_degree,True,True
125,125,42,admin_,married,university_degree,True,True
126,126,50,admin_,married,basic_6y,True,True
127,127,31,technician,divorced,professional_course,True,True
128,128,56,retired,married,basic_4y,True,True
129,129,41,technician,married,professional_course,False,True
130,130,37,blue-collar,married,basic_6y,True,True
131,131,41,technician,married,professional_course,False,True
133,133,37,blue-collar,married,basic_6y,True,True
134,134,52,management,married,university_degree,True,True
135,135,39,management,divorced,university_degree,True,True
136,136,39,housemaid,married,basic_4y,False,True
137,137,56,blue-collar,married,basic_4y,False,True
138,138,34,services,married,high_school,True,True
139,139,45,blue-collar,married,basic_9y,False,True
140,140,43,unemployed,single,university_degree,True,True
142,142,39,management,married,university_degree,True,True
143,143,53,blue-collar,married,basic_4y,True,True
144,144,38,unknown,divorced,high_school,False,True
145,145,42,blue-collar,married,basic_4y,False,True
146,146,42,blue-collar,married,basic_4y,False,True
147,147,35,admin_,single,high_school,True,True
148,148,40,admin_,married,university_degree,False,True
149,149,51,blue-collar,married,basic_4y,True,True
150,150,60,blue-collar,married,basic_9y,False,True
152,152,39,services,divorced,high_school,False,True
155,155,36,blue-collar,married,basic_9y,True,True
158,158,43,technician,single,professional_course,True,True
159,159,59,services,married,high_school,True,True
160,160,24,management,single,university_degree,True,True
161,161,37,blue-collar,single,basic_9y,False,True
162,162,40,blue-collar,married,basic_9y,False,True
163,163,42,blue-collar,married,basic_9y,False,True
164,164,39,services,divorced,high_school,False,True
165,165,37,entrepreneur,married,basic_6y,True,True
166,166,38,services,married,high_school,True,True
169,169,54,management,divorced,university_degree,True,True
170,170,43,blue-collar,married,high_school,False,True
171,171,36,services,married,high_school,False,True
172,172,45,technician,married,university_degree,True,True
173,173,42,admin_,single,university_degree,False,True
174,174,43,services,married,high_school,True,True
175,175,46,management,married,basic_9y,True,True
176,176,44,services,married,high_school,True,True
177,177,51,admin_,single,basic_6y,True,True
178,178,28,services,married,high_school,True,True
179,179,37,blue-collar,married,basic_9y,True,True
180,180,34,technician,married,high_school,True,True
181,181,46,blue-collar,married,basic_6y,False,True
182,182,42,blue-collar,married,basic_9y,True,True
183,183,36,admin_,married,university_degree,True,True
184,184,54,blue-collar,married,basic_4y,False,True
185,185,57,management,married,university_degree,True,True
186,186,51,technician,married,basic_6y,False,True
187,187,54,retired,married,high_school,False,True
188,188,49,blue-collar,married,basic_4y,False,True
189,189,34,admin_,married,university_degree,True,True
190,190,41,technician,married,professional_course,True,True
191,191,38,blue-collar,single,basic_9y,True,True
192,192,45,management,divorced,university_degree,True,True
193,193,42,technician,married,university_degree,True,True
194,194,34,blue-collar,single,basic_9y,False,True
195,195,48,blue-collar,married,basic_4y,True,True
196,196,37,admin_,married,high_school,False,True
197,197,34,blue-collar,single,basic_9y,False,True
198,198,40,admin_,married,basic_9y,False,True
199,199,43,blue-collar,married,basic_6y,True,True
200,200,33,services,married,high_school,True,True
201,201,32,services,single,basic_6y,True,True
202,202,39,blue-collar,married,high_school,True,True
204,204,44,blue-collar,married,basic_9y,True,True
205,205,35,student,single,university_degree,False,True
206,206,35,student,single,university_degree,False,True
207,207,35,unemployed,married,professional_course,True,True
208,208,36,services,single,basic_4y,True,True
209,209,35,student,single,university_degree,False,True
210,210,36,student,single,basic_9y,True,True
211,211,55,housemaid,divorced,university_degree,True,True
212,212,59,admin_,married,university_degree,True,True
214,214,39,blue-collar,married,professional_course,False,True
215,215,39,housemaid,married,basic_4y,False,True
218,218,50,housemaid,married,basic_4y,False,True
219,219,40,services,married,high_school,True,True
220,220,35,admin_,married,high_school,True,True
222,222,36,services,single,basic_6y,False,True
223,223,46,technician,married,basic_4y,False,True
224,224,40,technician,married,basic_9y,True,True
225,225,58,retired,married,university_degree,True,True
226,226,42,technician,married,university_degree,True,True
227,227,35,admin_,single,university_degree,True,True
228,228,43,retired,married,basic_4y,False,True
229,229,45,blue-collar,married,basic_4y,True,True
230,230,39,admin_,married,professional_course,True,True
231,231,50,services,divorced,professional_course,True,True
232,232,32,management,divorced,basic_4y,False,True
233,233,39,admin_,married,high_school,False,True
234,234,52,self-employed,married,university_degree,False,True
235,235,44,admin_,married,professional_course,True,True
236,236,56,blue-collar,married,basic_4y,True,True
237,237,48,admin_,married,high_school,True,True
238,238,33,services,married,high_school,False,True
239,239,43,management,married,university_degree,False,True
240,240,57,retired,married,high_school,True,True
241,241,36,technician,single,professional_course,True,True
242,242,34,management,married,university_degree,True,True
243,243,34,services,single,basic_9y,True,True
244,244,30,technician,married,university_degree,False,True
246,246,32,technician,single,professional_course,True,True
247,247,36,technician,single,high_school,True,True
248,248,36,blue-collar,single,high_school,True,True
249,249,33,services,single,high_school,True,True
250,250,40,technician,divorced,professional_course,True,True
251,251,41,blue-collar,married,basic_4y,True,True
252,252,51,services,married,basic_6y,True,True
253,253,36,technician,married,professional_course,True,True
255,255,53,services,married,high_school,True,True
256,256,58,blue-collar,married,basic_9y,False,True
257,257,45,management,married,basic_9y,True,True
259,259,33,admin_,married,high_school,True,True
260,260,33,admin_,married,high_school,True,True
261,261,27,blue-collar,single,basic_6y,True,False
262,262,42,technician,married,high_school,True,True
263,263,43,admin_,divorced,basic_9y,True,True
264,264,42,admin_,married,university_degree,True,True
265,265,27,blue-collar,single,basic_6y,True,True
266,266,34,self-employed,single,university_degree,True,True
267,267,31,student,single,university_degree,False,True
268,268,54,management,divorced,university_degree,True,True
269,269,40,self-employed,married,basic_4y,False,True
270,270,52,unemployed,married,high_school,False,True
271,271,47,management,divorced,university_degree,True,True
272,272,49,housemaid,married,basic_9y,False,True
273,273,32,admin_,single,high_school,True,True
274,274,49,housemaid,single,high_school,False,True
275,275,50,blue-collar,married,basic_9y,False,True
276,276,34,services,married,high_school,True,True
277,277,55,blue-collar,married,basic_4y,False,True
278,278,47,technician,single,basic_9y,True,True
279,279,51,retired,married,professional_course,True,True
280,280,47,blue-collar,married,basic_6y,True,True
281,281,56,technician,married,basic_4y,True,True
282,282,53,admin_,married,basic_9y,True,True
283,283,36,blue-collar,married,basic_9y,True,True
284,284,42,blue-collar,divorced,basic_9y,True,True
285,285,44,blue-collar,divorced,basic_6y,True,True
286,286,39,housemaid,married,basic_9y,True,True
287,287,37,admin_,single,high_school,True,True
289,289,36,services,married,high_school,True,True
290,290,42,management,divorced,university_degree,True,True
291,291,31,admin_,married,high_school,True,True
292,292,53,technician,divorced,professional_course,False,True
293,293,45,blue-collar,married,basic_4y,True,True
294,294,37,technician,single,professional_course,True,True
295,295,47,self-employed,married,professional_course,True,True
296,296,49,blue-collar,divorced,high_school,True,True
297,297,36,admin_,married,university_degree,True,True
298,298,35,services,divorced,high_school,True,True
300,300,38,services,single,high_school,False,True
301,301,50,blue-collar,divorced,high_school,False,True
302,302,59,retired,married,professional_course,False,True
304,304,42,admin_,married,high_school,True,True
305,305,40,admin_,married,basic_6y,False,True
307,307,57,housemaid,divorced,basic_4y,True,True
308,308,42,admin_,married,university_degree,True,True
309,309,41,blue-collar,married,basic_4y,True,True
310,310,54,management,divorced,university_degree,True,True
311,311,27,admin_,single,university_degree,True,True
312,312,36,admin_,married,high_school,True,True
313,313,58,blue-collar,married,professional_course,False,True
314,314,40,management,married,university_degree,False,True
315,315,34,admin_,single,basic_9y,False,True
316,316,33,admin_,divorced,high_school,True,True
317,317,56,retired,married,basic_6y,True,True
318,318,42,blue-collar,married,basic_9y,True,True
319,319,43,services,married,high_school,True,True
320,320,54,management,single,basic_9y,True,True
321,321,53,admin_,single,basic_6y,True,True
323,323,40,services,married,basic_6y,False,True
324,324,54,technician,married,professional_course,True,True
325,325,40,housemaid,single,professional_course,True,True
326,326,26,admin_,single,university_degree,True,True
327,327,33,admin_,married,high_school,True,True
328,328,35,blue-collar,married,basic_9y,False,True
329,329,36,admin_,married,high_school,True,True
330,330,29,services,single,high_school,True,True
331,331,36,blue-collar,married,basic_9y,True,True
332,332,35,management,married,high_school,True,True
333,333,50,self-employed,single,university_degree,True,True
334,334,46,services,married,high_school,False,True
335,335,49,entrepreneur,married,high_school,True,True
336,336,42,technician,single,professional_course,False,True
337,337,36,blue-collar,single,high_school,True,True
338,338,55,blue-collar,married,basic_9y,False,True
339,339,41,management,married,university_degree,False,True
340,340,57,management,married,professional_course,False,True
341,341,32,services,single,high_school,True,True
342,342,49,admin_,married,basic_9y,True,True
344,344,58,blue-collar,divorced,basic_4y,True,True
345,345,52,technician,married,high_school,True,True
346,346,50,services,divorced,professional_course,True,True
347,347,41,blue-collar,single,basic_9y,False,True
348,348,33,entrepreneur,married,university_degree,True,True
349,349,57,blue-collar,married,basic_4y,True,True
350,350,48,blue-collar,married,basic_6y,False,True
351,351,55,technician,married,professional_course,True,True
352,352,38,management,married,university_degree,True,True
353,353,38,services,married,high_school,True,True
354,354,53,admin_,married,university_degree,True,True
355,355,43,unemployed,single,university_degree,True,True
356,356,36,blue-collar,single,high_school,True,True
357,357,32,blue-collar,married,basic_9y,True,True
358,358,33,services,married,basic_4y,True,True
359,359,58,entrepreneur,married,basic_4y,True,True
360,360,40,unemployed,divorced,high_school,False,True
361,361,57,management,married,university_degree,True,True
362,362,45,technician,married,high_school,True,True
363,363,42,blue-collar,married,basic_4y,False,True
364,364,46,admin_,married,university_degree,True,True
365,365,36,technician,married,university_degree,True,True
366,366,41,self-employed,married,high_school,True,True
367,367,57,admin_,divorced,basic_9y,True,True
368,368,49,blue-collar,married,basic_9y,False,True
369,369,56,management,divorced,high_school,True,True
370,370,37,blue-collar,married,basic_9y,True,True
371,371,37,blue-collar,married,basic_9y,True,True
372,372,46,admin_,single,high_school,True,True
373,373,22,blue-collar,single,basic_9y,True,True
374,374,43,services,married,high_school,True,True
376,376,41,technician,married,basic_6y,True,True
377,377,38,admin_,single,university_degree,True,True
378,378,33,admin_,married,basic_9y,True,True
379,379,49,admin_,married,university_degree,True,True
381,381,33,admin_,married,basic_9y,True,True
382,382,34,management,single,university_degree,True,True
384,384,59,management,married,basic_4y,False,True
385,385,59,management,married,basic_4y,False,False
386,386,41,self-employed,married,university_degree,True,True
387,387,48,housemaid,married,basic_6y,False,True
389,389,44,services,married,high_school,True,True
390,390,59,retired,unknown,university_degree,False,True
391,391,50,management,married,high_school,False,True
392,392,35,admin_,married,university_degree,True,True
393,393,42,admin_,married,high_school,True,True
394,394,45,admin_,married,basic_9y,True,True
395,395,36,technician,married,professional_course,True,True
396,396,56,services,married,high_school,False,True
397,397,29,blue-collar,divorced,basic_4y,True,True
398,398,41,self-employed,married,university_degree,True,True
399,399,42,blue-collar,married,basic_9y,False,True
400,400,52,services,single,high_school,True,True
401,401,48,services,married,high_school,False,False
402,402,31,blue-collar,married,high_school,False,True
403,403,43,unemployed,married,university_degree,False,True
404,404,36,blue-collar,married,basic_4y,False,True
405,405,42,entrepreneur,married,university_degree,True,True
406,406,52,services,divorced,basic_6y,True,True
407,407,39,admin_,married,high_school,True,True
408,408,36,services,married,high_school,True,True
409,409,42,blue-collar,married,basic_9y,False,True
410,410,41,admin_,married,high_school,True,True
411,411,55,technician,married,basic_4y,True,True
412,412,30,blue-collar,married,basic_9y,True,True
413,413,57,retired,unknown,basic_4y,True,True
414,414,45,entrepreneur,married,basic_4y,False,True
415,415,51,blue-collar,married,basic_4y,False,True
416,416,39,self-employed,single,basic_9y,False,True
417,417,47,admin_,married,high_school,False,True
418,418,27,services,married,high_school,True,True
419,419,34,technician,single,university_degree,True,True
420,420,57,blue-collar,married,basic_4y,False,True
421,421,43,entrepreneur,married,basic_4y,True,True
422,422,49,blue-collar,married,basic_4y,False,True
423,423,39,management,married,university_degree,False,True
424,424,38,blue-collar,married,basic_4y,False,True
425,425,49,blue-collar,married,basic_9y,True,True
426,426,58,management,married,basic_6y,True,True
427,427,43,technician,married,professional_course,True,True
429,429,31,services,married,high_school,False,True
430,430,43,self-employed,divorced,university_degree,True,True
431,431,43,self-employed,married,basic_9y,False,True
432,432,30,self-employed,single,university_degree,True,True
433,433,27,services,single,professional_course,True,True
435,435,37,technician,married,professional_course,True,True
436,436,46,housemaid,married,basic_9y,True,True
437,437,35,blue-collar,married,professional_course,True,True
438,438,47,admin_,divorced,university_degree,True,True
440,440,40,technician,married,professional_course,False,True
441,441,26,housemaid,married,university_degree,True,True
442,442,32,blue-collar,divorced,basic_9y,False,True
443,443,45,management,married,university_degree,True,True
444,444,34,admin_,married,basic_9y,True,True
446,446,42,technician,married,professional_course,True,True
447,447,57,technician,married,basic_4y,False,True
448,448,57,technician,married,basic_4y,False,True
449,449,38,blue-collar,married,basic_4y,True,True
450,450,57,technician,married,basic_4y,False,True
451,451,28,student,single,basic_9y,False,True
452,452,60,management,married,university_degree,True,True
453,453,48,admin_,married,university_degree,True,True
454,454,47,technician,married,professional_course,True,True
455,455,40,admin_,married,high_school,True,True
456,456,51,management,married,professional_course,False,True
457,457,48,unemployed,single,basic_4y,True,True
458,458,54,housemaid,married,basic_4y,True,True
459,459,40,blue-collar,married,basic_6y,True,True
460,460,44,admin_,single,basic_9y,False,True
461,461,42,technician,divorced,high_school,True,True
462,462,52,self-employed,married,university_degree,True,True
463,463,31,blue-collar,single,basic_9y,True,True
464,464,32,services,married,high_school,True,True
465,465,44,admin_,married,high_school,True,True
466,466,39,management,married,basic_6y,False,True
467,467,57,management,married,professional_course,False,True
468,468,52,admin_,married,basic_4y,True,True
469,469,42,management,married,university_degree,True,True
470,470,42,technician,single,professional_course,False,False
471,471,43,management,married,professional_course,True,True
472,472,31,admin_,divorced,high_school,True,True
473,473,29,admin_,married,university_degree,False,True
474,474,57,blue-collar,divorced,basic_4y,True,True
475,475,44,blue-collar,married,basic_9y,False,True
477,477,39,blue-collar,married,basic_4y,False,True
478,478,57,retired,married,university_degree,True,True
480,480,37,technician,single,high_school,False,True
481,481,38,services,married,high_school,True,True
482,482,42,retired,married,basic_4y,True,True
484,484,54,management,married,basic_6y,False,True
485,485,36,admin_,married,university_degree,True,False
486,486,32,admin_,single,university_degree,False,True
487,487,35,technician,married,professional_course,True,True
488,488,45,housemaid,married,professional_course,False,True
490,490,34,technician,married,university_degree,True,True
491,491,41,unemployed,married,basic_9y,False,True
492,492,41,services,married,basic_9y,True,True
493,493,36,blue-collar,married,basic_9y,False,True
494,494,32,admin_,single,university_degree,False,False
495,495,31,services,married,high_school,False,False
496,496,38,technician,married,professional_course,True,True
